ISO_A3_EH,k_t,k_e,k_a,k
GBR,1,0.99200665,0.914104036,0.906797283
BLR,0.833333333,0.925642621,0.868050423,0.669587057
DOM,0.666666667,0.981352852,0.936780612,0.612874884
PHL,0.833333333,0.63976579,0.983709248,0.524452936
AUS,0.833333333,0.593829637,0.98958121,0.489702209
ROU,0.666666667,0.60559598,0.999867205,0.40367704
FIN,0.666666667,0.570181138,0.895578451,0.34042796
NGA,0.333333333,0.839890334,0.998613066,0.279575154
ARM,0.333333333,0.801242023,0.998801419,0.266760556
BGR,0.333333333,0.961817672,0.820209471,0.262963988
SWE,0.666666667,0.373005655,0.991990761,0.246678776
USA,0.333333333,0.980445045,0.644058934,0.21048813
IRL,1,0.402429466,0.518437868,0.208634674
MEX,0.333333333,0.678189888,0.910476005,0.205825207
CAN,0.5,0.433826789,0.934609505,0.20272932
BEL,0.333333333,0.834536872,0.704157641,0.195881838
BGD,0.833333333,0.305513255,0.759542634,0.193375286
KEN,1,0.393462277,0.489037206,0.192417692
EGY,0.166666667,0.955881815,0.992485209,0.158116427
MKD,0.5,0.569084607,0.439197473,0.124970261
LVA,0.5,0.676016227,0.366743539,0.123962292
GRC,0.333333333,0.692844175,0.506718108,0.117025563
DEU,0.166666667,0.727420595,0.898593481,0.108942567
LTU,1,0.374201488,0.280628021,0.105011423
SVK,0.166666667,0.672568848,0.895357603,0.100364939
IND,0.833333333,0.789901678,0.136570793,0.089897915
MNE,0.5,0.362343155,0.438222137,0.079393396
KOR,0.5,0.693175745,0.213004032,0.073824614
BOL,0.333333333,0.338060247,0.652242966,0.073499139
NZL,0.333333333,0.251705467,0.859031611,0.072074318
AZE,0.333333333,0.363325625,0.451879717,0.054726494
SRB,0.666666667,0.350831707,0.168022971,0.039298524
POL,0.5,0.344668404,0.207970299,0.035840395
MAR,0.166666667,0.444554052,0.477283124,0.035363024
CZE,0.833333333,0.401296886,0.098727507,0.033015868
PER,0.5,0.559418527,0.114911126,0.032141706
TJK,0.5,0.310938842,0.186935613,0.029062771
FRA,0.5,0.269832368,0.1788576,0.024130785
BRA,0.5,0.411393577,0.067704859,0.013926672
IRN,0.166666667,0.756900831,0.106748847,0.013466382
AUT,0.166666667,0.262206608,0.200772524,0.00877398
JPN,0.166666667,0.405195257,0.110208416,0.007442655
COL,0.833333333,0.316521322,0.026368267,0.006955099
TUR,0.333333333,0.233057352,0.077737728,0.006039116
PAK,0.166666667,0.553260208,0.057566626,0.005308221
CHN,0.333333333,0.346094215,0.02960196,0.003415022
HUN,0.166666667,0.076058235,0.065183614,0.000826292
ARG,0.5,0.115256941,0.007093915,0.000408811
ESP,0.5,0.138412257,0.004914373,0.000340105
URY,0.333333333,0.096613958,0.007735408,0.000249116
VNM,0.333333333,0.211489158,0.003418808,0.000241014
NLD,0.333333333,0.027222615,0.025190697,0.000228586
HRV,0.5,0.072729,0.00491892,0.000178874
NOR,0.666666667,0.027563762,0.009212596,0.000169289
ECU,0.833333333,0.098782666,0.000830779,6.84E-05
THA,0.5,0.108016816,0.000852749,4.61E-05
PRT,0.833333333,0.07204407,0.000564176,3.39E-05
KAZ,0.166666667,0.016600679,0.000241899,6.69E-07
TWN,0.166666667,0.038861057,5.88E-05,3.81E-07
CHE,0,0.744239065,0.996957567,0
EST,0.166666667,0,0,0
GEO,0,0.055350398,0.000745267,0
ITA,0,0.712000297,0.844911003,0
PRI,0.333333333,0,0,0
RUS,0,0.611424264,0.73171076,0
SVN,0,0.044114401,0.001260708,0
TUN,0.166666667,0,0,0
ZAF,0,0.173089329,0.861740692,0
